"mesh","umls"
"chromosomes, human, pair 4","Cell Component"
"chromosomes, human, pair 5","Cell Component"
"chromosomes, human, pair 6","Cell Component"
"chromosomes, human, pair 7","Cell Component"
"chronic disease","Disease or Syndrome"
"chronic pain","Sign or Symptom"
"chronobiology phenomena","Natural Phenomenon or Process"
"chronotherapy","Therapeutic or Preventive Procedure"
"churg-strauss syndrome","Disease or Syndrome"
"chylothorax","Disease or Syndrome"
"chymases","Amino Acid, Peptide, or Protein"
"chymases","Enzyme"
"chymopapain","Amino Acid, Peptide, or Protein"
"chymopapain","Enzyme"
"chymopapain","Pharmacologic Substance"
"chymosin","Amino Acid, Peptide, or Protein"
"chymosin","Enzyme"
"chymotrypsin","Amino Acid, Peptide, or Protein"
"chymotrypsin","Enzyme"
"chymotrypsin","Pharmacologic Substance"
"cicatrix","Finding"
"ciguatoxins","Biologically Active Substance"
"ciguatoxins","Hazardous or Poisonous Substance"
"cilia","Cell Component"
"ciliary body","Body Part, Organ, or Organ Component"
"ciliary motility disorders","Disease or Syndrome"
"cimetidine","Organic Chemical"
"cimetidine","Pharmacologic Substance"
"cineradiography","Diagnostic Procedure"
"cinnamomum zeylanicum","Plant"
"cinnarizine","Organic Chemical"
"cinnarizine","Pharmacologic Substance"
"ciprofloxacin","Organic Chemical"
"ciprofloxacin","Pharmacologic Substance"
"circadian rhythm","Organism Function"
"circular dichroism","Laboratory Procedure"
"cisapride","Organic Chemical"
"cisapride","Pharmacologic Substance"
"cisplatin","Inorganic Chemical"
"cisplatin","Pharmacologic Substance"
"citalopram","Organic Chemical"
"citalopram","Pharmacologic Substance"
"cities","Geographic Area"
"citrates","Organic Chemical"
"citric acid","Biologically Active Substance"
"citric acid","Organic Chemical"
"citric acid","Pharmacologic Substance"
"citrus","Plant"
"cladosporium","Fungus"
"clarithromycin","Antibiotic"
"clarithromycin","Organic Chemical"
"class i phosphatidylinositol 3-kinases","Amino Acid, Peptide, or Protein"
"class i phosphatidylinositol 3-kinases","Enzyme"
"classification","Classification"
"clavulanic acid","Antibiotic"
"clavulanic acid","Organic Chemical"
"clavulanic acids","Antibiotic"
"clavulanic acids","Organic Chemical"
"cleft lip","Congenital Abnormality"
"cleft palate","Congenital Abnormality"
"clemastine","Organic Chemical"
"clemastine","Pharmacologic Substance"
"clenbuterol","Organic Chemical"
"clenbuterol","Pharmacologic Substance"
"clergy","Professional or Occupational Group"
"climacteric","Organism Function"
"climate","Natural Phenomenon or Process"
"climatotherapy","Therapeutic or Preventive Procedure"
"clinical chemistry tests","Laboratory Procedure"
"clinical competence","Qualitative Concept"
"clinical enzyme tests","Laboratory Procedure"
"clinical laboratory information systems","Intellectual Product"
"clinical laboratory techniques","Health Care Activity"
"clinical pharmacy information systems","Intellectual Product"
"clinical protocols","Therapeutic or Preventive Procedure"
"clinical trials as topic","Research Activity"
"clinical trials, phase i as topic","Research Activity"
"clinical trials, phase ii as topic","Research Activity"
"clinical trials, phase iii as topic","Research Activity"
"clodronic acid","Organic Chemical"
"clodronic acid","Pharmacologic Substance"
"clomipramine","Organic Chemical"
"clomipramine","Pharmacologic Substance"
"clonal anergy","Cell Function"
"clonazepam","Organic Chemical"
"clonazepam","Pharmacologic Substance"
"clone cells","Cell"
"clonidine","Organic Chemical"
"clonidine","Pharmacologic Substance"
"cloning, molecular","Laboratory Procedure"
"cloning, molecular","Molecular Biology Research Technique"
"closing volume","Laboratory or Test Result"
"clostridium perfringens","Bacterium"
"clothing","Manufactured Object"
"cloxacillin","Antibiotic"
"cloxacillin","Organic Chemical"
"clozapine","Organic Chemical"
"clozapine","Pharmacologic Substance"
"cluster analysis","Research Activity"
"clusterin","Amino Acid, Peptide, or Protein"
"clusterin","Immunologic Factor"
"cnidaria","Eukaryote"
"coagulase","Amino Acid, Peptide, or Protein"
"coagulase","Enzyme"
"coal","Organic Chemical"
"coal mining","Occupational Activity"
"coal tar","Organic Chemical"
"coal tar","Pharmacologic Substance"
"cobalt","Biologically Active Substance"
"cobalt","Element, Ion, or Isotope"
"cobalt radioisotopes","Element, Ion, or Isotope"
"coca","Plant"
"cocaine","Hazardous or Poisonous Substance"
"cocaine","Organic Chemical"
"cocaine-related disorders","Mental or Behavioral Dysfunction"
"cocarcinogenesis","Neoplastic Process"
"coccidioidomycosis","Disease or Syndrome"
"cochlea","Body Part, Organ, or Organ Component"
"cochlear implantation","Therapeutic or Preventive Procedure"
"cockroaches","Eukaryote"
"coculture techniques","Laboratory Procedure"
"cod liver oil","Food"
"cod liver oil","Organic Chemical"
"cod liver oil","Pharmacologic Substance"
"codeine","Organic Chemical"
"codeine","Pharmacologic Substance"
"codon","Nucleotide Sequence"
"coenzymes","Biologically Active Substance"
"coenzymes","Organic Chemical"
"coffee","Food"
"cofilin 1","Gene or Genome"
"cognition","Mental Process"
"cognition disorders","Mental or Behavioral Dysfunction"
"cognitive dysfunction","Mental or Behavioral Dysfunction"
"cognitive therapy","Therapeutic or Preventive Procedure"
"cohort effect","Qualitative Concept"
"cohort studies","Quantitative Concept"
"coinfection","Disease or Syndrome"
"coitus","Organism Function"
"colchicine","Organic Chemical"
"colchicine","Pharmacologic Substance"
"cold climate","Natural Phenomenon or Process"
"cold temperature","Natural Phenomenon or Process"
"colectomy","Therapeutic or Preventive Procedure"
"colforsin","Organic Chemical"
"colforsin","Pharmacologic Substance"
"colistin","Amino Acid, Peptide, or Protein"
"colistin","Antibiotic"
"colitis","Disease or Syndrome"
"colitis, ischemic","Disease or Syndrome"
"colitis, ulcerative","Disease or Syndrome"
"collagen","Amino Acid, Peptide, or Protein"
"collagen diseases","Disease or Syndrome"
"collagen type i","Amino Acid, Peptide, or Protein"
"collagen type i","Biologically Active Substance"
"collagen type ii","Amino Acid, Peptide, or Protein"
"collagen type ii","Biologically Active Substance"
"collagen type iii","Amino Acid, Peptide, or Protein"
"collagen type iii","Biologically Active Substance"
"collagen type iv","Amino Acid, Peptide, or Protein"
"collagen type iv","Biologically Active Substance"
"collagen type v","Amino Acid, Peptide, or Protein"
"collagen type v","Biologically Active Substance"
"collagenases","Amino Acid, Peptide, or Protein"
"collagenases","Enzyme"
"collagenases","Pharmacologic Substance"
"collateral circulation","Physiologic Function"
"collodion","Organic Chemical"
"collodion","Pharmacologic Substance"
"colloids","Biomedical or Dental Material"
"colombia","Geographic Area"
"colon","Body Part, Organ, or Organ Component"
"colon, sigmoid","Body Part, Organ, or Organ Component"
"colonic diseases","Disease or Syndrome"
"colonic diseases, functional","Disease or Syndrome"
"colonic neoplasms","Neoplastic Process"
"colonoscopy","Diagnostic Procedure"
"colony count, microbial","Laboratory Procedure"
"colony-forming units assay","Laboratory Procedure"
"color","Qualitative Concept"
"color perception","Mental Process"
"colorado","Geographic Area"
"colorectal neoplasms","Neoplastic Process"
"colorimetry","Laboratory Procedure"
"coloring agents","Indicator, Reagent, or Diagnostic Aid"
"colostomy","Therapeutic or Preventive Procedure"
"columbidae","Bird"
"coma","Disease or Syndrome"
"combat disorders","Mental or Behavioral Dysfunction"
"combined modality therapy","Therapeutic or Preventive Procedure"
"commerce","Occupational Activity"
"common cold","Disease or Syndrome"
"common variable immunodeficiency","Disease or Syndrome"
"communicable disease control","Health Care Activity"
"communicable diseases","Disease or Syndrome"
"communicable diseases, emerging","Disease or Syndrome"
"communication","Social Behavior"
"communication barriers","Idea or Concept"
"community health centers","Health Care Related Organization"
"community health centers","Manufactured Object"
"community health nursing","Biomedical Occupation or Discipline"
"community health planning","Health Care Activity"
"community health services","Health Care Activity"
"community health workers","Professional or Occupational Group"
"community medicine","Biomedical Occupation or Discipline"
"community networks","Social Behavior"
"community participation","Social Behavior"
"community pharmacy services","Health Care Activity"
"community-acquired infections","Disease or Syndrome"
"community-based participatory research","Research Activity"
"community-institutional relations","Social Behavior"
"comorbidity","Idea or Concept"
"comparative effectiveness research","Research Activity"
"compensation and redress","Quantitative Concept"
"complement activation","Molecular Function"
"complement c1 inactivator proteins","Amino Acid, Peptide, or Protein"
"complement c1 inactivator proteins","Immunologic Factor"
"complement c1 inactivator proteins","Pharmacologic Substance"
"complement c1q","Amino Acid, Peptide, or Protein"
"complement c1q","Immunologic Factor"
"complement c3","Amino Acid, Peptide, or Protein"
"complement c3","Immunologic Factor"
"complement c3a","Amino Acid, Peptide, or Protein"
"complement c3a","Immunologic Factor"
"complement c3d","Amino Acid, Peptide, or Protein"
"complement c3d","Immunologic Factor"
"complement c4","Amino Acid, Peptide, or Protein"
"complement c4","Immunologic Factor"
"complement c4a","Amino Acid, Peptide, or Protein"
"complement c4a","Immunologic Factor"
"complement c4b","Amino Acid, Peptide, or Protein"
"complement c4b","Immunologic Factor"
"complement c5","Amino Acid, Peptide, or Protein"
"complement c5","Immunologic Factor"
"complement c5a","Amino Acid, Peptide, or Protein"
"complement c5a","Immunologic Factor"
"complement c5a, des-arginine","Amino Acid, Peptide, or Protein"
"complement c5a, des-arginine","Immunologic Factor"
"complement factor b","Amino Acid, Peptide, or Protein"
"complement factor b","Immunologic Factor"
"complement factor h","Amino Acid, Peptide, or Protein"
"complement factor h","Immunologic Factor"
"complement fixation tests","Laboratory Procedure"
"complement hemolytic activity assay","Laboratory Procedure"
"complement inactivator proteins","Amino Acid, Peptide, or Protein"
"complement inactivator proteins","Immunologic Factor"
"complement membrane attack complex","Amino Acid, Peptide, or Protein"
"complement membrane attack complex","Immunologic Factor"
"complement pathway, alternative","Molecular Function"
"complement pathway, classical","Molecular Function"
"complement pathway, mannose-binding lectin","Molecular Function"
"complement system proteins","Amino Acid, Peptide, or Protein"
"complement system proteins","Immunologic Factor"
"complementarity determining regions","Amino Acid, Peptide, or Protein"
"complementarity determining regions","Immunologic Factor"
"complementary therapies","Therapeutic or Preventive Procedure"
"complex mixtures","Chemical"
"comprehension","Mental Process"
"comprehensive health care","Health Care Activity"
"computational biology","Biomedical Occupation or Discipline"
"computer communication networks","Manufactured Object"
"computer graphics","Machine Activity"
"computer peripherals","Manufactured Object"
"computer simulation","Machine Activity"
"computer systems","Intellectual Product"
"computer systems","Manufactured Object"
"computer-assisted instruction","Educational Activity"
"computer-assisted instruction","Machine Activity"
"computers","Manufactured Object"
"computers, analog","Manufactured Object"
"concanavalin a","Amino Acid, Peptide, or Protein"
"concanavalin a","Biologically Active Substance"
"condiments","Food"
"conditioning (psychology)","Mental Process"
"conditioning, classical","Mental Process"
"conditioning, operant","Mental Process"
"condoms","Medical Device"
"conductometry","Laboratory Procedure"
"conductometry","Research Activity"
"cone-beam computed tomography","Diagnostic Procedure"
"confidence intervals","Quantitative Concept"
"confidentiality","Idea or Concept"
"confined spaces","Physical Object"
"conflict (psychology)","Individual Behavior"
"conflict of interest","Idea or Concept"
"confounding factors (epidemiology)","Functional Concept"
"confusion","Mental or Behavioral Dysfunction"
"congenital abnormalities","Congenital Abnormality"
"congenital disorders of glycosylation","Disease or Syndrome"
"congo red","Indicator, Reagent, or Diagnostic Aid"
"congo red","Organic Chemical"
"congresses as topic","Human-caused Phenomenon or Process"
"conjunctiva","Body Part, Organ, or Organ Component"
"conjunctival diseases","Disease or Syndrome"
"conjunctival neoplasms","Neoplastic Process"
"conjunctivitis","Disease or Syndrome"
"conjunctivitis, allergic","Disease or Syndrome"
"connecticut","Geographic Area"
"connective tissue","Tissue"
"connective tissue diseases","Disease or Syndrome"
"connective tissue growth factor","Amino Acid, Peptide, or Protein"
"connective tissue growth factor","Biologically Active Substance"
"consanguinity","Finding"
"conscious sedation","Therapeutic or Preventive Procedure"
"consciousness","Finding"
"consensus","Social Behavior"
"consensus development conferences as topic","Intellectual Product"
"conservation of natural resources","Idea or Concept"
"conserved sequence","Nucleotide Sequence"
"constipation","Sign or Symptom"
"constriction","Therapeutic or Preventive Procedure"
"constriction, pathologic","Pathologic Function"
"construction industry","Occupation or Discipline"
"construction materials","Manufactured Object"
"consumer advocacy","Occupation or Discipline"
"consumer behavior","Social Behavior"
"consumer health information","Intellectual Product"
"consumer product safety","Governmental or Regulatory Activity"
"contact lenses","Medical Device"
"continental population groups","Population Group"
"continuity of patient care","Health Care Activity"
"continuous positive airway pressure","Therapeutic or Preventive Procedure"
"contraception","Therapeutic or Preventive Procedure"
"contraceptive agents","Pharmacologic Substance"
"contraceptive agents, female","Pharmacologic Substance"
"contraceptive devices, male","Medical Device"
"contraceptives, oral","Pharmacologic Substance"
"contraceptives, oral, combined","Pharmacologic Substance"
"contraceptives, oral, hormonal","Pharmacologic Substance"
"contractile proteins","Amino Acid, Peptide, or Protein"
"contractile proteins","Biologically Active Substance"
"contracts","Intellectual Product"
"contrast media","Indicator, Reagent, or Diagnostic Aid"
"control groups","Group"
"controlled clinical trials as topic","Research Activity"
"contusions","Injury or Poisoning"
"convalescence","Finding"
"conversion disorder","Mental or Behavioral Dysfunction"
"cooking","Daily or Recreational Activity"
"cooking and eating utensils","Manufactured Object"
"cooperative behavior","Social Behavior"
"copper","Biologically Active Substance"
"copper","Element, Ion, or Isotope"
"copper","Pharmacologic Substance"
"cordyceps","Fungus"
"coriolaceae","Fungus"
"corn oil","Food"
"corn oil","Organic Chemical"
"cornea","Body Part, Organ, or Organ Component"
"corneal opacity","Finding"
"corneal topography","Diagnostic Procedure"
"corneal ulcer","Disease or Syndrome"
"cornified envelope proline-rich proteins","Amino Acid, Peptide, or Protein"
"cornified envelope proline-rich proteins","Biologically Active Substance"
"coronary angiography","Diagnostic Procedure"
"coronary artery bypass","Therapeutic or Preventive Procedure"
"coronary artery disease","Disease or Syndrome"
"coronary circulation","Organ or Tissue Function"
"coronary disease","Disease or Syndrome"
"coronary stenosis","Disease or Syndrome"
"coronary thrombosis","Disease or Syndrome"
"coronary vasospasm","Disease or Syndrome"
"coronary vessel anomalies","Congenital Abnormality"
"coronary vessels","Body Part, Organ, or Organ Component"
"coronaviridae","Virus"
"coronavirus","Virus"
"coronavirus infections","Disease or Syndrome"
"coroners and medical examiners","Professional or Occupational Group"
"corpus striatum","Body Part, Organ, or Organ Component"
"correspondence as topic","Intellectual Product"
"corticosterone","Hormone"
"corticosterone","Organic Chemical"
"corticosterone","Pharmacologic Substance"
"corticotropin-releasing hormone","Amino Acid, Peptide, or Protein"
"corticotropin-releasing hormone","Hormone"
"corticotropin-releasing hormone","Pharmacologic Substance"
"cortisone","Hormone"
"cortisone","Organic Chemical"
"cortisone","Pharmacologic Substance"
"corynebacterium diphtheriae","Bacterium"
"cos cells","Cell"
"cosmetic techniques","Therapeutic or Preventive Procedure"
"cosmetics","Manufactured Object"
"cost control","Governmental or Regulatory Activity"
"cost of illness","Quantitative Concept"
"cost savings","Quantitative Concept"
"cost sharing","Quantitative Concept"
"cost-benefit analysis","Occupational Activity"
"costs and cost analysis","Occupational Activity"
"cosyntropin","Amino Acid, Peptide, or Protein"
"cosyntropin","Hormone"
"cosyntropin","Indicator, Reagent, or Diagnostic Aid"
"cote d'ivoire","Geographic Area"
"cotinine","Organic Chemical"
"cotinine","Pharmacologic Substance"
"cotton fiber","Substance"
"coturnix","Bird"
"cough","Sign or Symptom"
"coumarins","Organic Chemical"
"coumarins","Pharmacologic Substance"
"counseling","Health Care Activity"
"counterpulsation","Therapeutic or Preventive Procedure"
"countertransference (psychology)","Mental Process"
"cpg islands","Biologically Active Substance"
"cpg islands","Nucleic Acid, Nucleoside, or Nucleotide"
"crack cocaine","Hazardous or Poisonous Substance"
"crack cocaine","Organic Chemical"
"cranial nerves","Body Part, Organ, or Organ Component"
"cranial sutures","Body Space or Junction"
"craniocerebral trauma","Injury or Poisoning"
"craniotomy","Therapeutic or Preventive Procedure"
"creatine","Amino Acid, Peptide, or Protein"
"creatine","Biologically Active Substance"
"creatine kinase","Amino Acid, Peptide, or Protein"
"creatine kinase","Enzyme"
"creatine kinase, mb form","Amino Acid, Peptide, or Protein"
"creatine kinase, mb form","Enzyme"
"creatine kinase, mm form","Amino Acid, Peptide, or Protein"
"creatine kinase, mm form","Enzyme"
"creatinine","Biologically Active Substance"
"creatinine","Organic Chemical"
"creativity","Mental Process"
"cresols","Organic Chemical"
"cricetinae","Mammal"
"cricetulus","Mammal"
"cricoid cartilage","Tissue"
"crime","Human-caused Phenomenon or Process"
"crime victims","Population Group"
"criminal psychology","Occupation or Discipline"
"critical care","Health Care Activity"
"critical illness","Disease or Syndrome"
"critical pathways","Intellectual Product"
"croatia","Geographic Area"
"crohn disease","Disease or Syndrome"
"cromakalim","Organic Chemical"
"cromakalim","Pharmacologic Substance"
"cromolyn sodium","Organic Chemical"
"cromolyn sodium","Pharmacologic Substance"
"cross circulation","Laboratory Procedure"
"cross infection","Pathologic Function"
"cross reactions","Molecular Function"
"cross-cultural comparison","Research Activity"
"cross-linking reagents","Indicator, Reagent, or Diagnostic Aid"
"cross-over studies","Research Activity"
"cross-priming","Cell Function"
"cross-sectional studies","Research Activity"
"crotalid venoms","Amino Acid, Peptide, or Protein"
"crotalid venoms","Biologically Active Substance"
"crotalid venoms","Hazardous or Poisonous Substance"
"crotalus","Reptile"
"croup","Disease or Syndrome"
"crowding","Social Behavior"
"crowns","Medical Device"
"crustacea","Eukaryote"
"crying","Individual Behavior"
"cryoglobulins","Amino Acid, Peptide, or Protein"
"cryoglobulins","Immunologic Factor"
"cryopreservation","Laboratory Procedure"
"cryosurgery","Therapeutic or Preventive Procedure"
"cryptococcosis","Disease or Syndrome"
"cryptococcus","Disease or Syndrome"
"cryptococcus neoformans","Disease or Syndrome"
"cryptogenic organizing pneumonia","Disease or Syndrome"
"cryptomeria","Plant"
"cryptorchidism","Congenital Abnormality"
"crystallization","Natural Phenomenon or Process"
"ctla-4 antigen","Amino Acid, Peptide, or Protein"
"ctla-4 antigen","Immunologic Factor"
"cuba","Geographic Area"
"cucurbitaceae","Plant"
"cues","Idea or Concept"
"culicidae","Eukaryote"
"cultural characteristics","Group Attribute"
"cultural competency","Idea or Concept"
"cultural diversity","Conceptual Entity"
"culture","Idea or Concept"
"culture media","Indicator, Reagent, or Diagnostic Aid"
"culture media, conditioned","Indicator, Reagent, or Diagnostic Aid"
"culture media, serum-free","Indicator, Reagent, or Diagnostic Aid"
"culture techniques","Laboratory Procedure"
"cupressus","Plant"
"curare","Hazardous or Poisonous Substance"
"curare","Organic Chemical"
"curare","Pharmacologic Substance"
"curcuma","Organic Chemical"
"curcuma","Pharmacologic Substance"
"curcumin","Indicator, Reagent, or Diagnostic Aid"
"curcumin","Organic Chemical"
"curcumin","Pharmacologic Substance"
"curettage","Therapeutic or Preventive Procedure"
"curriculum","Intellectual Product"
"cushing syndrome","Disease or Syndrome"
"cutis laxa","Disease or Syndrome"
"cyanates","Organic Chemical"
"cyanoacrylates","Organic Chemical"
"cyanosis","Sign or Symptom"
"cyclamen","Plant"
"cyclic amp","Biologically Active Substance"
"cyclic amp","Nucleic Acid, Nucleoside, or Nucleotide"
"cyclic amp","Pharmacologic Substance"
"cyclic amp response element-binding protein","Amino Acid, Peptide, or Protein"
"cyclic amp response element-binding protein","Biologically Active Substance"
"cyclic gmp","Biologically Active Substance"
"cyclic gmp","Nucleic Acid, Nucleoside, or Nucleotide"
"cyclic nucleotide phosphodiesterases, type 3","Amino Acid, Peptide, or Protein"
"cyclic nucleotide phosphodiesterases, type 3","Enzyme"
"cyclic nucleotide phosphodiesterases, type 4","Amino Acid, Peptide, or Protein"
"cyclic nucleotide phosphodiesterases, type 4","Enzyme"
"cyclic nucleotide phosphodiesterases, type 7","Amino Acid, Peptide, or Protein"
"cyclic nucleotide phosphodiesterases, type 7","Enzyme"
"cyclin d1","Amino Acid, Peptide, or Protein"
"cyclin d1","Biologically Active Substance"
"cyclin-dependent kinase inhibitor p21","Amino Acid, Peptide, or Protein"
"cyclin-dependent kinase inhibitor p21","Biologically Active Substance"
"cyclin-dependent kinase inhibitor p27","Amino Acid, Peptide, or Protein"
"cyclin-dependent kinase inhibitor p27","Biologically Active Substance"
"cyclins","Amino Acid, Peptide, or Protein"
"cyclins","Biologically Active Substance"
"cyclization","Natural Phenomenon or Process"
"cyclodextrins","Indicator, Reagent, or Diagnostic Aid"
"cyclodextrins","Organic Chemical"
"cycloheptanes","Organic Chemical"
"cyclohexanecarboxylic acids","Organic Chemical"
"cyclohexanes","Organic Chemical"
"cyclohexanols","Organic Chemical"
"cyclohexenes","Organic Chemical"
"cycloheximide","Antibiotic"
"cycloheximide","Organic Chemical"
"cyclohexylamines","Indicator, Reagent, or Diagnostic Aid"
"cyclohexylamines","Organic Chemical"
"cyclooxygenase 1","Amino Acid, Peptide, or Protein"
"cyclooxygenase 1","Enzyme"
"cyclooxygenase 2","Amino Acid, Peptide, or Protein"
"cyclooxygenase 2","Enzyme"
"cyclooxygenase 2 inhibitors","Organic Chemical"
"cyclooxygenase 2 inhibitors","Pharmacologic Substance"
"cyclooxygenase inhibitors","Pharmacologic Substance"
"cyclopentanes","Organic Chemical"
"cyclophosphamide","Organic Chemical"
"cyclophosphamide","Pharmacologic Substance"
"cyclopropanes","Organic Chemical"
"cyclosporine","Amino Acid, Peptide, or Protein"
"cyclosporine","Pharmacologic Substance"
"cyclosporins","Immunologic Factor"
"cyclosporins","Pharmacologic Substance"
"cynara scolymus","Plant"
"cynodon","Plant"
"cyproheptadine","Organic Chemical"
"cyproheptadine","Pharmacologic Substance"
"cystathionine","Amino Acid, Peptide, or Protein"
"cystathionine","Biologically Active Substance"
"cystatin a","Amino Acid, Peptide, or Protein"
"cystatin a","Biologically Active Substance"
"cystatin a","Pharmacologic Substance"
"cystatin b","Amino Acid, Peptide, or Protein"
"cystatin b","Biologically Active Substance"
"cystatin b","Pharmacologic Substance"
"cystatin c","Amino Acid, Peptide, or Protein"
"cystatin c","Pharmacologic Substance"
"cystatins","Amino Acid, Peptide, or Protein"
"cystatins","Pharmacologic Substance"
"cysteine","Amino Acid, Peptide, or Protein"
"cysteine","Biologically Active Substance"
"cysteine endopeptidases","Amino Acid, Peptide, or Protein"
"cysteine endopeptidases","Enzyme"
"cysteine proteinase inhibitors","Biologically Active Substance"
"cysteine proteinase inhibitors","Pharmacologic Substance"
"cystic fibrosis","Disease or Syndrome"
"cystic fibrosis transmembrane conductance regulator","Amino Acid, Peptide, or Protein"
"cystic fibrosis transmembrane conductance regulator","Biologically Active Substance"
"cystine","Amino Acid, Peptide, or Protein"
"cystine","Biologically Active Substance"
"cystine","Pharmacologic Substance"
"cystitis","Disease or Syndrome"
"cystitis, interstitial","Disease or Syndrome"
"cysts","Disease or Syndrome"
"cytidine deaminase","Amino Acid, Peptide, or Protein"
"cytidine deaminase","Enzyme"
"cytochalasin b","Biologically Active Substance"
"cytochalasin b","Pharmacologic Substance"
"cytochrome c group","Amino Acid, Peptide, or Protein"
"cytochrome c group","Biologically Active Substance"
"cytochrome p-450 cyp1a2","Amino Acid, Peptide, or Protein"
"cytochrome p-450 cyp1a2","Enzyme"
"cytochrome p-450 cyp1b1","Amino Acid, Peptide, or Protein"
"cytochrome p-450 cyp1b1","Enzyme"
"cytochrome p-450 cyp2c19","Amino Acid, Peptide, or Protein"
"cytochrome p-450 cyp2c19","Enzyme"
"cytochrome p-450 cyp2d6","Amino Acid, Peptide, or Protein"
"cytochrome p-450 cyp2d6","Enzyme"
"cytochrome p-450 cyp3a","Amino Acid, Peptide, or Protein"
"cytochrome p-450 cyp3a","Enzyme"
"cytochrome p-450 cyp3a inhibitors","Pharmacologic Substance"
"cytochrome p-450 enzyme inhibitors","Pharmacologic Substance"
"cytochrome p-450 enzyme system","Amino Acid, Peptide, or Protein"
"cytochrome p-450 enzyme system","Enzyme"
"cytochrome-b(5) reductase","Amino Acid, Peptide, or Protein"
"cytochrome-b(5) reductase","Enzyme"
"cytodiagnosis","Laboratory Procedure"
"cytokines","Cell Function"
"cytological techniques","Laboratory Procedure"
"cytomegalovirus","Disease or Syndrome"
"cytomegalovirus infections","Disease or Syndrome"
"cytopathogenic effect, viral","Cell or Molecular Dysfunction"
"cytoplasm","Cell Component"
"cytoplasmic granules","Cell Component"
"cytoskeletal proteins","Amino Acid, Peptide, or Protein"
"cytoskeletal proteins","Biologically Active Substance"
"cytosol","Cell Component"
"cytotoxicity tests, immunologic","Laboratory Procedure"
"cytotoxicity, immunologic","Cell Function"
"cytotoxins","Biologically Active Substance"
"cytotoxins","Hazardous or Poisonous Substance"
"czech republic","Geographic Area"
"czechoslovakia","Geographic Area"
"dactinomycin","Amino Acid, Peptide, or Protein"
"dactinomycin","Antibiotic"
"dactylis","Plant"
"dairy products","Food"
"dairying","Occupational Activity"
"dalteparin","Organic Chemical"
"dalteparin","Pharmacologic Substance"
"danazol","Hormone"
"danazol","Organic Chemical"
"danazol","Pharmacologic Substance"
"dancing","Daily or Recreational Activity"
"dantrolene","Organic Chemical"
"dantrolene","Pharmacologic Substance"
"daphnia","Eukaryote"
"dapsone","Organic Chemical"
"dapsone","Pharmacologic Substance"
"daptomycin","Amino Acid, Peptide, or Protein"
"daptomycin","Antibiotic"
"darier disease","Disease or Syndrome"
"darkness","Natural Phenomenon or Process"
"data collection","Research Activity"
"data interpretation, statistical","Quantitative Concept"
"database management systems","Intellectual Product"
"database management systems","Manufactured Object"
"databases as topic","Intellectual Product"
"databases, bibliographic","Intellectual Product"
"databases, factual","Intellectual Product"
"databases, genetic","Intellectual Product"
"databases, pharmaceutical","Intellectual Product"
"datura stramonium","Plant"
"daucus carota","Plant"
"ddt","Hazardous or Poisonous Substance"
"ddt","Organic Chemical"
"dead box protein 58","Amino Acid, Peptide, or Protein"
"dead box protein 58","Enzyme"
"dead-box rna helicases","Amino Acid, Peptide, or Protein"
"dead-box rna helicases","Enzyme"
"deafness","Finding"
"deamino arginine vasopressin","Amino Acid, Peptide, or Protein"
"deamino arginine vasopressin","Hormone"
"deamino arginine vasopressin","Pharmacologic Substance"
"death","Organism Function"
"death certificates","Intellectual Product"
"death, sudden","Pathologic Function"
"death, sudden, cardiac","Pathologic Function"
"debridement","Therapeutic or Preventive Procedure"
"decapoda (crustacea)","Eukaryote"
"decapodiformes","Eukaryote"
"deception","Individual Behavior"
"decision making","Mental Process"
"decision making, computer-assisted","Mental Process"
"decision making, organizational","Occupational Activity"
"decision support systems, clinical","Intellectual Product"
"decision support systems, management","Intellectual Product"
"decision support techniques","Intellectual Product"
"decision trees","Intellectual Product"
"decompression","Phenomenon or Process"
"decompression sickness","Disease or Syndrome"
"decorin","Amino Acid, Peptide, or Protein"
"deductibles and coinsurance","Idea or Concept"
"deep sedation","Therapeutic or Preventive Procedure"
"deer","Mammal"
"defecation","Organism Function"
"defense mechanisms","Mental Process"
"defibrillators, implantable","Medical Device"
"deficiency diseases","Disease or Syndrome"
"deglutition","Organism Function"
"deglutition disorders","Disease or Syndrome"
"dehydration","Disease or Syndrome"
"dehydrocholic acid","Indicator, Reagent, or Diagnostic Aid"
"dehydrocholic acid","Organic Chemical"
"dehydrocholic acid","Pharmacologic Substance"
"dehydroepiandrosterone","Hormone"
"dehydroepiandrosterone","Organic Chemical"
"dehydroepiandrosterone","Pharmacologic Substance"
"dehydroepiandrosterone sulfate","Biologically Active Substance"
"dehydroepiandrosterone sulfate","Organic Chemical"
"dehydroepiandrosterone sulfate","Pharmacologic Substance"
"delayed diagnosis","Qualitative Concept"
"delayed rectifier potassium channels","Amino Acid, Peptide, or Protein"
"delayed rectifier potassium channels","Biologically Active Substance"
"delayed-action preparations","Pharmacologic Substance"
"delirium","Mental or Behavioral Dysfunction"
"delivery of health care","Health Care Activity"
"delivery of health care, integrated","Health Care Activity"
"delivery, obstetric","Therapeutic or Preventive Procedure"
"delphi technique","Research Activity"
"delusions","Mental or Behavioral Dysfunction"
"dementia","Mental or Behavioral Dysfunction"
"democratic republic of the congo","Geographic Area"
"demography","Occupation or Discipline"
"demyelinating diseases","Disease or Syndrome"
"dendritic cells","Cell"
