"mesh","umls"
"carotid artery diseases","Disease or Syndrome"
"carotid body","Body Part, Organ, or Organ Component"
"carotid intima-media thickness","Clinical Attribute"
"carotid sinus","Body Part, Organ, or Organ Component"
"carrier proteins","Amino Acid, Peptide, or Protein"
"carrier proteins","Biologically Active Substance"
"carrier state","Finding"
"cartilage","Tissue"
"case management","Health Care Activity"
"case-control studies","Research Activity"
"caseins","Amino Acid, Peptide, or Protein"
"caseins","Pharmacologic Substance"
"caspase 3","Amino Acid, Peptide, or Protein"
"caspase 3","Enzyme"
"caspases","Amino Acid, Peptide, or Protein"
"caspases","Enzyme"
"cat diseases","Disease or Syndrome"
"catalase","Amino Acid, Peptide, or Protein"
"catalase","Enzyme"
"catalogs, drug","Manufactured Object"
"catalysis","Natural Phenomenon or Process"
"catalytic domain","Amino Acid Sequence"
"cataract","Acquired Abnormality"
"catchment area (health)","Geographic Area"
"catechol o-methyltransferase","Amino Acid, Peptide, or Protein"
"catechol o-methyltransferase","Enzyme"
"catecholamines","Biologically Active Substance"
"catecholamines","Pharmacologic Substance"
"catechols","Organic Chemical"
"catheterization","Therapeutic or Preventive Procedure"
"catheters","Medical Device"
"cation transport proteins","Amino Acid, Peptide, or Protein"
"cation transport proteins","Biologically Active Substance"
"cations","Chemical Viewed Structurally"
"cations, divalent","Chemical Viewed Structurally"
"cats","Mammal"
"cattle","Mammal"
"causality","Functional Concept"
"cause of death","Finding"
"caustics","Hazardous or Poisonous Substance"
"caustics","Inorganic Chemical"
"cd-i","Manufactured Object"
"cd-rom","Intellectual Product"
"cd-rom","Manufactured Object"
"cd4 lymphocyte count","Laboratory Procedure"
"cd4-cd8 ratio","Laboratory Procedure"
"cd4-positive t-lymphocytes","Cell"
"cd40 ligand","Amino Acid, Peptide, or Protein"
"cd40 ligand","Immunologic Factor"
"cd8-positive t-lymphocytes","Cell"
"cefadroxil","Antibiotic"
"cefadroxil","Organic Chemical"
"cefuroxime","Antibiotic"
"cefuroxime","Organic Chemical"
"ceiba","Plant"
"celiac disease","Disease or Syndrome"
"cell adhesion","Cell Function"
"cell adhesion molecules","Amino Acid, Peptide, or Protein"
"cell adhesion molecules","Biologically Active Substance"
"cell aggregation","Cell Function"
"cell aging","Cell Function"
"cell count","Laboratory Procedure"
"cell culture techniques","Laboratory Procedure"
"cell cycle","Cell Function"
"cell cycle proteins","Amino Acid, Peptide, or Protein"
"cell cycle proteins","Biologically Active Substance"
"cell death","Cell Function"
"cell degranulation","Cell Function"
"cell differentiation","Cell Function"
"cell division","Cell Function"
"cell extracts","Cell Component"
"cell growth processes","Cell Function"
"cell line","Cell"
"cell line, transformed","Cell"
"cell line, tumor","Cell"
"cell lineage","Idea or Concept"
"cell membrane","Cell Component"
"cell membrane permeability","Cell Function"
"cell migration inhibition","Laboratory Procedure"
"cell movement","Organism Function"
"cell phones","Manufactured Object"
"cell polarity","Spatial Concept"
"cell proliferation","Cell Function"
"cell respiration","Cell Function"
"cell separation","Laboratory Procedure"
"cell size","Quantitative Concept"
"cell survival","Cell Function"
"cell transformation, neoplastic","Neoplastic Process"
"cell transformation, viral","Genetic Function"
"cell- and tissue-based therapy","Therapeutic or Preventive Procedure"
"cells, cultured","Cell"
"cellulitis","Pathologic Function"
"cellulose","Biologically Active Substance"
"cellulose","Organic Chemical"
"censuses","Quantitative Concept"
"centers for disease control and prevention (u.s.)","Health Care Related Organization"
"central america","Geographic Area"
"central nervous system","Indicator, Reagent, or Diagnostic Aid"
"central nervous system diseases","Disease or Syndrome"
"central nervous system neoplasms","Neoplastic Process"
"central nervous system stimulants","Pharmacologic Substance"
"central nervous system vascular malformations","Anatomical Abnormality"
"centrifugation, density gradient","Laboratory Procedure"
"cephalometry","Diagnostic Procedure"
"cephalosporins","Antibiotic"
"cephalosporins","Organic Chemical"
"cerebellum","Body Part, Organ, or Organ Component"
"cerebral angiography","Diagnostic Procedure"
"cerebral cortex","Body Part, Organ, or Organ Component"
"cerebral hemorrhage","Finding"
"cerebral infarction","Disease or Syndrome"
"cerebral palsy","Disease or Syndrome"
"cerebral ventriculography","Diagnostic Procedure"
"cerebrosides","Organic Chemical"
"cerebrosides","Pharmacologic Substance"
"cerebrospinal fluid proteins","Amino Acid, Peptide, or Protein"
"cerebrospinal fluid proteins","Biologically Active Substance"
"cerebrospinal fluid rhinorrhea","Disease or Syndrome"
"cerebrovascular circulation","Organ or Tissue Function"
"cerebrovascular disorders","Disease or Syndrome"
"ceremonial behavior","Social Behavior"
"certificate of need","Governmental or Regulatory Activity"
"certificate of need","Intellectual Product"
"ceruloplasmin","Amino Acid, Peptide, or Protein"
"ceruloplasmin","Enzyme"
"cervical vertebrae","Body Part, Organ, or Organ Component"
"cesarean section","Therapeutic or Preventive Procedure"
"cesarean section, repeat","Therapeutic or Preventive Procedure"
"cetirizine","Organic Chemical"
"cetirizine","Pharmacologic Substance"
"chaetomium","Fungus"
"chalazion","Disease or Syndrome"
"chamaecyparis","Plant"
"chamomile","Organic Chemical"
"chamomile","Pharmacologic Substance"
"channel islands","Geographic Area"
"character","Mental Process"
"charcoal","Element, Ion, or Isotope"
"charcoal","Pharmacologic Substance"
"checklist","Intellectual Product"
"cheek","Body Location or Region"
"chemical and drug induced liver injury","Disease or Syndrome"
"chemical fractionation","Laboratory Procedure"
"chemical industry","Organization"
"chemical phenomena","Natural Phenomenon or Process"
"chemical precipitation","Natural Phenomenon or Process"
"chemistry","Occupation or Discipline"
"chemistry techniques, analytical","Laboratory Procedure"
"chemistry, pharmaceutical","Biomedical Occupation or Discipline"
"chemistry, physical","Occupation or Discipline"
"chemokine ccl1","Amino Acid, Peptide, or Protein"
"chemokine ccl1","Biologically Active Substance"
"chemokine ccl11","Amino Acid, Peptide, or Protein"
"chemokine ccl11","Biologically Active Substance"
"chemokine ccl17","Amino Acid, Peptide, or Protein"
"chemokine ccl17","Biologically Active Substance"
"chemokine ccl2","Amino Acid, Peptide, or Protein"
"chemokine ccl2","Immunologic Factor"
"chemokine ccl22","Amino Acid, Peptide, or Protein"
"chemokine ccl22","Immunologic Factor"
"chemokine ccl24","Amino Acid, Peptide, or Protein"
"chemokine ccl24","Immunologic Factor"
"chemokine ccl27","Amino Acid, Peptide, or Protein"
"chemokine ccl27","Biologically Active Substance"
"chemokine ccl3","Amino Acid, Peptide, or Protein"
"chemokine ccl3","Immunologic Factor"
"chemokine ccl4","Amino Acid, Peptide, or Protein"
"chemokine ccl4","Immunologic Factor"
"chemokine ccl5","Amino Acid, Peptide, or Protein"
"chemokine ccl5","Immunologic Factor"
"chemokine ccl7","Amino Acid, Peptide, or Protein"
"chemokine cxcl1","Amino Acid, Peptide, or Protein"
"chemokine cxcl1","Biologically Active Substance"
"chemokine cxcl10","Amino Acid, Peptide, or Protein"
"chemokine cxcl10","Biologically Active Substance"
"chemokine cxcl12","Amino Acid, Peptide, or Protein"
"chemokine cxcl12","Immunologic Factor"
"chemokine cxcl9","Amino Acid, Peptide, or Protein"
"chemokine cxcl9","Immunologic Factor"
"chemokines","Amino Acid, Peptide, or Protein"
"chemokines","Immunologic Factor"
"chemokines, cc","Amino Acid, Peptide, or Protein"
"chemokines, cc","Immunologic Factor"
"chemokines, cxc","Amino Acid, Peptide, or Protein"
"chemokines, cxc","Immunologic Factor"
"chemoprevention","Therapeutic or Preventive Procedure"
"chemoreceptor cells","Cell"
"chemotactic factors","Biologically Active Substance"
"chemotactic factors, eosinophil","Immunologic Factor"
"chemotaxis","Cell Function"
"chemotaxis, leukocyte","Cell Function"
"chemotherapy, adjuvant","Therapeutic or Preventive Procedure"
"chest pain","Sign or Symptom"
"chest tubes","Medical Device"
"chest wall oscillation","Therapeutic or Preventive Procedure"
"chewing gum","Food"
"chi-square distribution","Quantitative Concept"
"chicago","Geographic Area"
"chick embryo","Embryonic Structure"
"chickenpox","Disease or Syndrome"
"chickenpox vaccine","Immunologic Factor"
"chickenpox vaccine","Pharmacologic Substance"
"chickens","Bird"
"child","Age Group"
"child abuse","Mental or Behavioral Dysfunction"
"child abuse, sexual","Mental or Behavioral Dysfunction"
"child advocacy","Occupation or Discipline"
"child behavior","Individual Behavior"
"child behavior disorders","Mental or Behavioral Dysfunction"
"child care","Daily or Recreational Activity"
"child custody","Idea or Concept"
"child day care centers","Manufactured Object"
"child day care centers","Organization"
"child development","Organism Function"
"child development disorders, pervasive","Mental or Behavioral Dysfunction"
"child guidance","Health Care Activity"
"child health services","Health Care Activity"
"child mortality","Quantitative Concept"
"child nutrition disorders","Disease or Syndrome"
"child nutrition sciences","Biomedical Occupation or Discipline"
"child nutritional physiological phenomena","Organism Function"
"child of impaired parents","Population Group"
"child psychiatry","Biomedical Occupation or Discipline"
"child reactive disorders","Mental or Behavioral Dysfunction"
"child rearing","Social Behavior"
"child welfare","Health Care Activity"
"child, exceptional","Population Group"
"child, hospitalized","Patient or Disabled Group"
"child, institutionalized","Patient or Disabled Group"
"child, preschool","Age Group"
"chile","Geographic Area"
"china","Geographic Area"
"chironomidae","Eukaryote"
"chiropractic","Biomedical Occupation or Discipline"
"chitin synthase","Amino Acid, Peptide, or Protein"
"chitin synthase","Enzyme"
"chitinase-3-like protein 1","Amino Acid, Peptide, or Protein"
"chitinase-3-like protein 1","Biologically Active Substance"
"chitinases","Amino Acid, Peptide, or Protein"
"chitinases","Enzyme"
"chlamydia","Bacterium"
"chlamydia infections","Disease or Syndrome"
"chlamydia trachomatis","Bacterium"
"chlamydiales","Bacterium"
"chlamydophila infections","Disease or Syndrome"
"chlamydophila pneumoniae","Bacterium"
"chloral hydrate","Organic Chemical"
"chloral hydrate","Pharmacologic Substance"
"chlorambucil","Organic Chemical"
"chlorambucil","Pharmacologic Substance"
"chloramines","Organic Chemical"
"chloramphenicol","Antibiotic"
"chloramphenicol","Organic Chemical"
"chlorides","Inorganic Chemical"
"chlorine","Element, Ion, or Isotope"
"chlorine","Hazardous or Poisonous Substance"
"chlorine compounds","Inorganic Chemical"
"chlorofluorocarbons","Hazardous or Poisonous Substance"
"chlorofluorocarbons","Organic Chemical"
"chlorofluorocarbons, methane","Hazardous or Poisonous Substance"
"chlorofluorocarbons, methane","Organic Chemical"
"chloroquine","Organic Chemical"
"chloroquine","Pharmacologic Substance"
"chlorpheniramine","Organic Chemical"
"chlorpheniramine","Pharmacologic Substance"
"chlorpromazine","Organic Chemical"
"chlorpromazine","Pharmacologic Substance"
"chlortetracycline","Antibiotic"
"chlortetracycline","Organic Chemical"
"cho cells","Cell"
"choice behavior","Individual Behavior"
"cholangitis","Disease or Syndrome"
"cholecalciferol","Organic Chemical"
"cholecalciferol","Pharmacologic Substance"
"cholecalciferol","Vitamin"
"cholecystitis","Disease or Syndrome"
"cholecystokinin","Amino Acid, Peptide, or Protein"
"cholecystokinin","Hormone"
"cholecystokinin","Pharmacologic Substance"
"cholesteatoma","Disease or Syndrome"
"cholesterol","Biologically Active Substance"
"cholesterol","Organic Chemical"
"cholesterol esters","Biologically Active Substance"
"cholesterol esters","Organic Chemical"
"cholesterol, hdl","Biologically Active Substance"
"cholesterol, hdl","Organic Chemical"
"cholesterol, ldl","Biologically Active Substance"
"cholesterol, ldl","Organic Chemical"
"choline","Biologically Active Substance"
"choline","Organic Chemical"
"choline","Pharmacologic Substance"
"cholinergic agents","Pharmacologic Substance"
"cholinergic antagonists","Pharmacologic Substance"
"cholinergic fibers","Cell Component"
"cholinesterase inhibitors","Organic Chemical"
"cholinesterase inhibitors","Pharmacologic Substance"
"cholinesterases","Amino Acid, Peptide, or Protein"
"cholinesterases","Enzyme"
"chorea","Disease or Syndrome"
"chorioamnionitis","Pathologic Function"
"chorion","Embryonic Structure"
"chorionic gonadotropin","Amino Acid, Peptide, or Protein"
"chorionic gonadotropin","Hormone"
"chorionic gonadotropin","Pharmacologic Substance"
"chorioretinitis","Disease or Syndrome"
"choroid","Body Part, Organ, or Organ Component"
"christianity","Idea or Concept"
"chromaffin system","Body System"
"chromates","Inorganic Chemical"
"chromatin","Amino Acid, Peptide, or Protein"
"chromatin assembly and disassembly","Genetic Function"
"chromatography","Laboratory Procedure"
"chromatography, affinity","Laboratory Procedure"
"chromatography, deae-cellulose","Laboratory Procedure"
"chromatography, gas","Laboratory Procedure"
"chromatography, gel","Laboratory Procedure"
"chromatography, high pressure liquid","Laboratory Procedure"
"chromatography, ion exchange","Laboratory Procedure"
"chromatography, liquid","Laboratory Procedure"
"chromatography, paper","Laboratory Procedure"
"chromatography, thin layer","Laboratory Procedure"
"chromium","Element, Ion, or Isotope"
"chromium","Hazardous or Poisonous Substance"
"chromium isotopes","Element, Ion, or Isotope"
"chromones","Organic Chemical"
"chromosomal instability","Cell or Molecular Dysfunction"
"chromosome aberrations","Cell or Molecular Dysfunction"
"chromosome deletion","Cell or Molecular Dysfunction"
"chromosome disorders","Congenital Abnormality"
"chromosome disorders","Disease or Syndrome"
"chromosome inversion","Cell or Molecular Dysfunction"
"chromosome mapping","Laboratory Procedure"
"chromosome mapping","Molecular Biology Research Technique"
"chromosomes, human","Cell Component"
"chromosomes, human, 6-12 and x","Cell Component"
"chromosomes, human, pair 1","Cell Component"
"chromosomes, human, pair 11","Cell Component"
"chromosomes, human, pair 12","Cell Component"
"chromosomes, human, pair 13","Cell Component"
"chromosomes, human, pair 14","Cell Component"
"chromosomes, human, pair 16","Cell Component"
"chromosomes, human, pair 17","Cell Component"
"chromosomes, human, pair 19","Cell Component"
"chromosomes, human, pair 2","Cell Component"
"chromosomes, human, pair 20","Cell Component"
"chromosomes, human, pair 22","Cell Component"
"chromosomes, human, pair 3","Cell Component"
"chromosomes, human, pair 4","Cell Component"
"chromosomes, human, pair 5","Cell Component"
"chromosomes, human, pair 6","Cell Component"
"chromosomes, human, pair 7","Cell Component"
"chromosomes, human, pair 9","Cell Component"
"chronic disease","Disease or Syndrome"
"chronobiology disorders","Disease or Syndrome"
"chronobiology phenomena","Natural Phenomenon or Process"
"chronotherapy","Therapeutic or Preventive Procedure"
"churg-strauss syndrome","Disease or Syndrome"
"chymases","Amino Acid, Peptide, or Protein"
"chymases","Enzyme"
"chymotrypsin","Amino Acid, Peptide, or Protein"
"chymotrypsin","Enzyme"
"chymotrypsin","Pharmacologic Substance"
"cicatrix","Finding"
"cilia","Cell Component"
"ciliary motility disorders","Disease or Syndrome"
"cimetidine","Organic Chemical"
"cimetidine","Pharmacologic Substance"
"cineangiography","Diagnostic Procedure"
"circadian clocks","Organism Function"
"circadian rhythm","Organism Function"
"cisapride","Organic Chemical"
"cisapride","Pharmacologic Substance"
"cisplatin","Inorganic Chemical"
"cisplatin","Pharmacologic Substance"
"citalopram","Organic Chemical"
"citalopram","Pharmacologic Substance"
"cities","Geographic Area"
"citrates","Organic Chemical"
"citric acid","Biologically Active Substance"
"citric acid","Organic Chemical"
"citric acid","Pharmacologic Substance"
"citrus","Plant"
"citrus paradisi","Plant"
"citrus sinensis","Plant"
"cladosporium","Fungus"
"clarithromycin","Antibiotic"
"clarithromycin","Organic Chemical"
"classification","Classification"
"clavicle","Body Part, Organ, or Organ Component"
"clavulanic acid","Antibiotic"
"clavulanic acid","Organic Chemical"
"cleft lip","Congenital Abnormality"
"cleft palate","Congenital Abnormality"
"clemastine","Organic Chemical"
"clemastine","Pharmacologic Substance"
"clenbuterol","Organic Chemical"
"clenbuterol","Pharmacologic Substance"
"clergy","Professional or Occupational Group"
"climate","Natural Phenomenon or Process"
"climate change","Natural Phenomenon or Process"
"climatotherapy","Therapeutic or Preventive Procedure"
"clindamycin","Antibiotic"
"clindamycin","Organic Chemical"
"clinical audit","Health Care Activity"
"clinical competence","Qualitative Concept"
"clinical enzyme tests","Laboratory Procedure"
"clinical governance","Health Care Activity"
"clinical laboratory techniques","Health Care Activity"
"clinical medicine","Biomedical Occupation or Discipline"
"clinical nursing research","Research Activity"
"clinical protocols","Therapeutic or Preventive Procedure"
"clinical trials as topic","Research Activity"
"clinical trials, phase i as topic","Research Activity"
"clinical trials, phase iii as topic","Research Activity"
"clone cells","Cell"
"clonidine","Organic Chemical"
"clonidine","Pharmacologic Substance"
"cloning, molecular","Laboratory Procedure"
"cloning, molecular","Molecular Biology Research Technique"
"closing volume","Laboratory or Test Result"
"clostridium","Bacterium"
"clostridium difficile","Bacterium"
"clostridium infections","Disease or Syndrome"
"clostridium tetani","Bacterium"
"clothing","Manufactured Object"
"clotrimazole","Organic Chemical"
"clotrimazole","Pharmacologic Substance"
"cloxacillin","Antibiotic"
"cloxacillin","Organic Chemical"
"cluster analysis","Research Activity"
"coal","Organic Chemical"
"coal mining","Occupational Activity"
"coal tar","Organic Chemical"
"coal tar","Pharmacologic Substance"
"cobalt","Biologically Active Substance"
"cobalt","Element, Ion, or Isotope"
"cocaine-related disorders","Mental or Behavioral Dysfunction"
"cockroaches","Eukaryote"
"coculture techniques","Laboratory Procedure"
"cod liver oil","Food"
"cod liver oil","Organic Chemical"
"cod liver oil","Pharmacologic Substance"
"codeine","Organic Chemical"
"codeine","Pharmacologic Substance"
"codon","Nucleotide Sequence"
"codon, nonsense","Nucleotide Sequence"
"coenzyme a ligases","Amino Acid, Peptide, or Protein"
"coenzyme a ligases","Enzyme"
"coffee","Food"
"cognition","Mental Process"
"cognition disorders","Mental or Behavioral Dysfunction"
"cognitive therapy","Therapeutic or Preventive Procedure"
"cohort effect","Qualitative Concept"
"cohort studies","Quantitative Concept"
"coinfection","Disease or Syndrome"
"coitus","Organism Function"
"coke","Hazardous or Poisonous Substance"
"coke","Organic Chemical"
"colchicine","Organic Chemical"
"colchicine","Pharmacologic Substance"
"cold climate","Natural Phenomenon or Process"
"cold temperature","Natural Phenomenon or Process"
"colectomy","Therapeutic or Preventive Procedure"
"colforsin","Organic Chemical"
"colforsin","Pharmacologic Substance"
"colic","Finding"
"colistin","Amino Acid, Peptide, or Protein"
"colistin","Antibiotic"
"colitis","Disease or Syndrome"
"colitis, ulcerative","Disease or Syndrome"
"collagen","Amino Acid, Peptide, or Protein"
"collagen diseases","Disease or Syndrome"
"collagen type i","Amino Acid, Peptide, or Protein"
"collagen type i","Biologically Active Substance"
"collagen type iii","Amino Acid, Peptide, or Protein"
"collagen type iii","Biologically Active Substance"
"collagen type iv","Amino Acid, Peptide, or Protein"
"collagen type iv","Biologically Active Substance"
"collagen type vi","Amino Acid, Peptide, or Protein"
"collagen type vi","Biologically Active Substance"
"collagenases","Amino Acid, Peptide, or Protein"
"collagenases","Enzyme"
"collagenases","Pharmacologic Substance"
"collateral circulation","Physiologic Function"
"collodion","Organic Chemical"
"collodion","Pharmacologic Substance"
"colloids","Biomedical or Dental Material"
"colombia","Geographic Area"
"colon","Body Part, Organ, or Organ Component"
"colon, sigmoid","Body Part, Organ, or Organ Component"
"colonic diseases, functional","Disease or Syndrome"
"colonic neoplasms","Neoplastic Process"
"colony count, microbial","Laboratory Procedure"
"colony-forming units assay","Laboratory Procedure"
"colorado","Geographic Area"
"colorimetry","Laboratory Procedure"
"coloring agents","Indicator, Reagent, or Diagnostic Aid"
"colostrum","Body Substance"
"columbidae","Bird"
"coma","Disease or Syndrome"
"combined modality therapy","Therapeutic or Preventive Procedure"
"comet assay","Molecular Biology Research Technique"
"commerce","Occupational Activity"
"common bile duct diseases","Disease or Syndrome"
"common cold","Disease or Syndrome"
"communicable disease control","Health Care Activity"
"communicable diseases","Disease or Syndrome"
"communicable diseases, emerging","Disease or Syndrome"
"communication","Social Behavior"
"communication barriers","Idea or Concept"
"communication disorders","Mental or Behavioral Dysfunction"
"community health centers","Health Care Related Organization"
"community health centers","Manufactured Object"
"community health nursing","Biomedical Occupation or Discipline"
"community health planning","Health Care Activity"
"community health services","Health Care Activity"
"community health workers","Professional or Occupational Group"
"community mental health services","Health Care Activity"
"community networks","Social Behavior"
"community participation","Social Behavior"
"community pharmacy services","Health Care Activity"
"community-acquired infections","Disease or Syndrome"
"community-based participatory research","Research Activity"
"community-institutional relations","Social Behavior"
"comorbidity","Idea or Concept"
"comparative effectiveness research","Research Activity"
"compensation and redress","Quantitative Concept"
"complement activation","Molecular Function"
"complement c1 inactivator proteins","Amino Acid, Peptide, or Protein"
"complement c1 inactivator proteins","Immunologic Factor"
"complement c1 inactivator proteins","Pharmacologic Substance"
"complement c3","Amino Acid, Peptide, or Protein"
"complement c3","Immunologic Factor"
"complement c3b","Amino Acid, Peptide, or Protein"
"complement c3b","Immunologic Factor"
"complement c3c","Amino Acid, Peptide, or Protein"
"complement c3c","Immunologic Factor"
"complement c4","Amino Acid, Peptide, or Protein"
"complement c4","Immunologic Factor"
"complement factor b","Amino Acid, Peptide, or Protein"
"complement factor b","Immunologic Factor"
"complement fixation tests","Laboratory Procedure"
"complement inactivator proteins","Amino Acid, Peptide, or Protein"
"complement inactivator proteins","Immunologic Factor"
"complement membrane attack complex","Amino Acid, Peptide, or Protein"
"complement membrane attack complex","Immunologic Factor"
"complement pathway, alternative","Molecular Function"
"complement pathway, classical","Molecular Function"
"complement system proteins","Amino Acid, Peptide, or Protein"
"complement system proteins","Immunologic Factor"
"complementarity determining regions","Amino Acid, Peptide, or Protein"
"complementarity determining regions","Immunologic Factor"
"complementary therapies","Therapeutic or Preventive Procedure"
"complex mixtures","Chemical"
"compliance","Quantitative Concept"
"composite resins","Biomedical or Dental Material"
"comprehension","Mental Process"
"comprehensive health care","Health Care Activity"
"computational biology","Biomedical Occupation or Discipline"
"computer communication networks","Manufactured Object"
"computer graphics","Machine Activity"
"computer simulation","Machine Activity"
"computer systems","Intellectual Product"
"computer systems","Manufactured Object"
"computer-aided design","Machine Activity"
"computer-assisted instruction","Educational Activity"
"computer-assisted instruction","Machine Activity"
"computers","Manufactured Object"
"computers, handheld","Manufactured Object"
"conalbumin","Amino Acid, Peptide, or Protein"
"conalbumin","Biologically Active Substance"
"concanavalin a","Amino Acid, Peptide, or Protein"
"concanavalin a","Biologically Active Substance"
"concept formation","Mental Process"
"conditioning (psychology)","Mental Process"
"conditioning, classical","Mental Process"
"conditioning, operant","Mental Process"
"confidence intervals","Quantitative Concept"
"confidentiality","Idea or Concept"
"conflict (psychology)","Individual Behavior"
"conflict of interest","Idea or Concept"
"confounding factors (epidemiology)","Functional Concept"
"congenital abnormalities","Congenital Abnormality"
"congenital hypothyroidism","Disease or Syndrome"
"congresses as topic","Human-caused Phenomenon or Process"
"conjunctiva","Body Part, Organ, or Organ Component"
"conjunctivitis","Disease or Syndrome"
"conjunctivitis, allergic","Disease or Syndrome"
"conjunctivitis, bacterial","Disease or Syndrome"
"conjunctivitis, inclusion","Disease or Syndrome"
"connecticut","Geographic Area"
"connective tissue","Tissue"
"connective tissue cells","Cell"
"connective tissue diseases","Disease or Syndrome"
"consanguinity","Finding"
"conscious sedation","Therapeutic or Preventive Procedure"
"consciousness","Finding"
"consciousness disorders","Mental or Behavioral Dysfunction"
"consensus","Social Behavior"
"consensus development conferences as topic","Intellectual Product"
"consensus sequence","Nucleotide Sequence"
"consent forms","Intellectual Product"
"conservation of natural resources","Idea or Concept"
"constipation","Sign or Symptom"
"constriction","Therapeutic or Preventive Procedure"
"constriction, pathologic","Pathologic Function"
"construction materials","Manufactured Object"
"consultants","Professional or Occupational Group"
"consumer advocacy","Occupation or Discipline"
"consumer behavior","Social Behavior"
"consumer health information","Intellectual Product"
"consumer product safety","Governmental or Regulatory Activity"
"continental population groups","Population Group"
"continuity of patient care","Health Care Activity"
"continuous positive airway pressure","Therapeutic or Preventive Procedure"
"contraception behavior","Social Behavior"
"contraceptive agents","Pharmacologic Substance"
"contraceptive agents, female","Pharmacologic Substance"
"contraceptives, oral","Pharmacologic Substance"
"contraceptives, oral, hormonal","Pharmacologic Substance"
"contract services","Occupational Activity"
"contractile proteins","Amino Acid, Peptide, or Protein"
"contractile proteins","Biologically Active Substance"
"contrast media","Indicator, Reagent, or Diagnostic Aid"
"control groups","Group"
"controlled clinical trials as topic","Research Activity"
"contusions","Injury or Poisoning"
"convalescence","Finding"
"conversion disorder","Mental or Behavioral Dysfunction"
"cooking","Daily or Recreational Activity"
"coombs test","Laboratory Procedure"
"cooperative behavior","Social Behavior"
"copper","Biologically Active Substance"
"copper","Element, Ion, or Isotope"
"copper","Pharmacologic Substance"
"cor triatriatum","Congenital Abnormality"
"cordyceps","Fungus"
"core binding factor alpha 2 subunit","Amino Acid, Peptide, or Protein"
"core binding factor alpha 2 subunit","Biologically Active Substance"
"cornea","Body Part, Organ, or Organ Component"
"cornified envelope proline-rich proteins","Amino Acid, Peptide, or Protein"
"cornified envelope proline-rich proteins","Biologically Active Substance"
"coronary angiography","Diagnostic Procedure"
"coronary artery disease","Disease or Syndrome"
"coronary disease","Disease or Syndrome"
"coronary vessel anomalies","Congenital Abnormality"
"coronaviridae","Virus"
"coronavirus","Virus"
"coronavirus infections","Disease or Syndrome"
"coroners and medical examiners","Professional or Occupational Group"
"correspondence as topic","Intellectual Product"
"corticosterone","Hormone"
"corticosterone","Organic Chemical"
"corticosterone","Pharmacologic Substance"
"corticotropin-releasing hormone","Amino Acid, Peptide, or Protein"
"corticotropin-releasing hormone","Hormone"
"corticotropin-releasing hormone","Pharmacologic Substance"
"cortisone","Hormone"
"cortisone","Organic Chemical"
"cortisone","Pharmacologic Substance"
"cortodoxone","Hormone"
"cortodoxone","Organic Chemical"
"corylus","Plant"
"corynebacterium diphtheriae","Bacterium"
"cos cells","Cell"
"cosmetics","Manufactured Object"
"cost control","Governmental or Regulatory Activity"
"cost of illness","Quantitative Concept"
"cost savings","Quantitative Concept"
"cost sharing","Quantitative Concept"
"cost-benefit analysis","Occupational Activity"
"costa rica","Geographic Area"
"costs and cost analysis","Occupational Activity"
"cosyntropin","Amino Acid, Peptide, or Protein"
"cosyntropin","Hormone"
"cosyntropin","Indicator, Reagent, or Diagnostic Aid"
"cote d'ivoire","Geographic Area"
"cotinine","Organic Chemical"
"cotinine","Pharmacologic Substance"
"cough","Sign or Symptom"
"counseling","Health Care Activity"
"counterfeit drugs","Hazardous or Poisonous Substance"
"counterimmunoelectrophoresis","Laboratory Procedure"
"countertransference (psychology)","Mental Process"
"cpg islands","Biologically Active Substance"
"cpg islands","Nucleic Acid, Nucleoside, or Nucleotide"
"cranial sinuses","Body Part, Organ, or Organ Component"
"cranial sutures","Body Space or Junction"
"craniocerebral trauma","Injury or Poisoning"
"craniofacial abnormalities","Congenital Abnormality"
"creatine","Amino Acid, Peptide, or Protein"
"creatine","Biologically Active Substance"
"creatine kinase","Amino Acid, Peptide, or Protein"
"creatine kinase","Enzyme"
"creatine kinase, mb form","Amino Acid, Peptide, or Protein"
"creatine kinase, mb form","Enzyme"
"creatinine","Biologically Active Substance"
"creatinine","Organic Chemical"
"creb-binding protein","Amino Acid, Peptide, or Protein"
"cricetinae","Mammal"
"cricoid cartilage","Tissue"
"crime","Human-caused Phenomenon or Process"
"crime victims","Population Group"
"critical care","Health Care Activity"
"critical illness","Disease or Syndrome"
"critical pathways","Intellectual Product"
"croatia","Geographic Area"
"crohn disease","Disease or Syndrome"
"cromolyn sodium","Organic Chemical"
"cromolyn sodium","Pharmacologic Substance"
"cross infection","Pathologic Function"
"cross reactions","Molecular Function"
"cross-cultural comparison","Research Activity"
"cross-linking reagents","Indicator, Reagent, or Diagnostic Aid"
"cross-over studies","Research Activity"
"cross-sectional studies","Research Activity"
"crosses, genetic","Laboratory Procedure"
"crosses, genetic","Molecular Biology Research Technique"
"crossing over, genetic","Genetic Function"
"croup","Disease or Syndrome"
"crowding","Social Behavior"
"crown-rump length","Clinical Attribute"
"crying","Individual Behavior"
"cryotherapy","Therapeutic or Preventive Procedure"
"cryptococcus neoformans","Disease or Syndrome"
"cryptogenic organizing pneumonia","Disease or Syndrome"
"cryptomeria","Plant"
"cryptorchidism","Congenital Abnormality"
"crystallization","Natural Phenomenon or Process"
